Dist 30760;ph 0.0;Err 0;0.0474887326514;0.947476048588
Dist 30760;ph 0.0;Err 5;-0.0193976717716;11.5115490152
Dist 30760;ph 0.0;Err 10;0.519129921061;22.7293963343
Dist 30760;ph 0.0;Err 40;0.686607050064;81.2660686101
Dist 30760;ph 10.0;Err 0;5.04750984529;4.05250328246
Dist 30760;ph 10.0;Err 5;4.85521932367;12.0071566432
Dist 30760;ph 10.0;Err 10;4.80346652973;23.2692115575
Dist 30760;ph 10.0;Err 40;-2.56778461336;79.8694064417
Dist 30760;ph -10.0;Err 0;-4.95248805934;5.94749975621
Dist 30760;ph -10.0;Err 5;-4.4377745694;12.1044087387
Dist 30760;ph -10.0;Err 10;-3.63089376928;23.3910459075
Dist 30760;ph -10.0;Err 40;4.44566171505;82.4962250372
Dist 30760;ph 350.0;Err 0;-4.95248805934;5.94749975621
Dist 30760;ph 350.0;Err 5;-5.00276947268;12.8627208365
Dist 30760;ph 350.0;Err 10;-4.53661732342;23.0215504349
Dist 30760;ph 350.0;Err 40;4.91195757413;81.5243999675
Dist 30760;ph 45.0;Err 0;22.5478531122;21.5521604585
Dist 30760;ph 45.0;Err 5;22.9285977167;24.6612736113
Dist 30760;ph 45.0;Err 10;22.2569772833;30.6128316766
Dist 30760;ph 45.0;Err 40;-11.2294162495;77.6912150126
Dist 30760;ph 90.0;Err 0;45.0482236322;44.0517880945
Dist 30760;ph 90.0;Err 5;44.7753905237;45.2347953837
Dist 30760;ph 90.0;Err 10;44.1907286838;48.5852510245
Dist 30760;ph 90.0;Err 40;-7.98775096425;72.2760252587
Dist 30760;ph -70.0;Err 0;-34.9518603648;35.9481286812
Dist 30760;ph -70.0;Err 5;-35.228018252;37.9445665543
Dist 30760;ph -70.0;Err 10;-35.7091943775;43.1795904873
Dist 30760;ph -70.0;Err 40;11.5239501411;74.9619247044
Dist 30760;ph 142.0;Err 0;71.047770263;70.052240725
Dist 30760;ph 142.0;Err 5;71.2282831616;71.1588905327
Dist 30760;ph 142.0;Err 10;44.8606767271;89.222629425
Dist 30760;ph 142.0;Err 40;-4.92973672558;68.2913968407
Dist 30760;ph 21.443;Err 0;10.769084858;9.77392862495
Dist 30760;ph 21.443;Err 5;10.4061889197;14.7081143997
Dist 30760;ph 21.443;Err 10;11.127639545;25.0612498247
Dist 30760;ph 21.443;Err 40;-2.46905262836;82.1609313248
Dist 37760.1695479;ph 0.0;Err 0;0.52579148114;0.469437819956
Dist 37760.1695479;ph 0.0;Err 5;0.710576644071;11.115028377
Dist 37760.1695479;ph 0.0;Err 10;0.618621620088;22.7192653432
Dist 37760.1695479;ph 0.0;Err 40;1.44039962211;84.239206293
Dist 37760.1695479;ph 10.0;Err 0;5.52596708174;4.53038664982
Dist 37760.1695479;ph 10.0;Err 5;5.29339571017;12.1031446631
Dist 37760.1695479;ph 10.0;Err 10;5.45225844596;23.290215464
Dist 37760.1695479;ph 10.0;Err 40;-1.39377392425;80.5143134619
Dist 37760.1695479;ph -10.0;Err 0;-4.47435409315;5.46929249576
Dist 37760.1695479;ph -10.0;Err 5;-4.13371484832;12.0973767614
Dist 37760.1695479;ph -10.0;Err 10;-5.56053234584;23.134219084
Dist 37760.1695479;ph -10.0;Err 40;4.26156963157;83.6740882625
Dist 37760.1695479;ph 350.0;Err 0;-4.47435409315;5.46929249576
Dist 37760.1695479;ph 350.0;Err 5;-4.5262203375;12.6515143534
Dist 37760.1695479;ph 350.0;Err 10;-4.95591341711;23.4923359886
Dist 37760.1695479;ph 350.0;Err 40;2.94497165442;84.8084218357
Dist 37760.1695479;ph 45.0;Err 0;23.0265099697;22.0298427069
Dist 37760.1695479;ph 45.0;Err 5;23.2898586565;25.1499568841
Dist 37760.1695479;ph 45.0;Err 10;22.8218383181;31.5868724751
Dist 37760.1695479;ph 45.0;Err 40;-15.4799722916;75.8289154547
Dist 37760.1695479;ph 90.0;Err 0;45.5262894102;44.5300613542
Dist 37760.1695479;ph 90.0;Err 5;45.8527974777;46.1779418868
Dist 37760.1695479;ph 90.0;Err 10;45.2659723699;49.6402234731
Dist 37760.1695479;ph 90.0;Err 40;-7.92081964592;70.9567364483
Dist 37760.1695479;ph -70.0;Err 0;-34.4740706401;35.4695785538
Dist 37760.1695479;ph -70.0;Err 5;-34.5772607896;37.3985128642
Dist 37760.1695479;ph -70.0;Err 10;-34.0628341592;41.5401167226
Dist 37760.1695479;ph -70.0;Err 40;12.0821299605;71.4029274074
Dist 37760.1695479;ph 142.0;Err 0;71.5255246363;70.5308274722
Dist 37760.1695479;ph 142.0;Err 5;71.9333296125;71.8179905362
Dist 37760.1695479;ph 142.0;Err 10;42.1157604597;90.9578872395
Dist 37760.1695479;ph 142.0;Err 40;-6.71462924188;69.0254158091
Dist 37760.1695479;ph 21.443;Err 0;11.247677555;10.251676029
Dist 37760.1695479;ph 21.443;Err 5;10.9296765593;15.0486683209
Dist 37760.1695479;ph 21.443;Err 10;11.2205014876;24.6873590514
Dist 37760.1695479;ph 21.443;Err 40;-6.5807107117;80.3762627815
Dist 1000;ph 0.0;Err 0;1.76366678437;0.738433474007
Dist 1000;ph 0.0;Err 5;1.91130623118;11.2538853197
Dist 1000;ph 0.0;Err 10;2.20701453629;22.803841647
Dist 1000;ph 0.0;Err 40;1.06894089664;83.0530484948
