Delta;30760;37760.16955;10000;35000;40000;80000;140000
0;0.994964781;0.995229301;1.006298052;0.996481023;0.997214348;0.996536886;0.99235958
5;0.994964781;0.995229301;1.006298052;0.996481023;0.997214348;0.996536886;0.99235958
10;0.994964781;0.995229301;1.006298052;0.996481023;0.997214348;0.996536886;0.99235958
40;0.994964781;0.995229301;1.006298052;0.996481023;0.997214348;0.996536886;0.99235958
100;0.994964781;0.995229301;1.006298052;0.996481023;0.997214348;0.996536886;0.99235958
500;0.994964781;0.995229301;1.006298052;0.996481023;0.997214348;0.996536886;0.99235958
1000;0.994964781;0.995229301;1.006298052;0.996481023;0.997214348;0.996536886;0.99235958
6000;0.994964781;0.995229301;1.006298052;0.996481023;0.997214348;0.996536886;0.99235958
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Delta;30760;37760.16955;10000;35000;40000;80000;140000
0;-0.899987316;0.056353661;8.513180262;5.082902254;1.102128947;18.70001819;20.46089779
5;-28.51416638;-27.55670383;-19.104325;-22.53059747;-26.51056967;-8.906271562;-7.135778673
10;-56.12834625;-55.16976212;-46.72183107;-50.144098;-54.12326909;-36.51256212;-34.73245593
40;138.1865577;139.1518713;147.5731157;144.174882;140.2005176;157.8496777;159.6874637
100;166.8162791;167.7950517;176.1629227;172.8127555;168.8480044;-173.4259291;-171.4727836
500;117.6781406;118.7466394;126.7586881;123.7289641;119.8283016;138.0670773;140.7892865
1000;-123.7517426;-122.571086;-115.0038152;-117.6329851;-121.4535368;-102.5738747;-98.89033583
6000;-18.491184;-16.18894891;-13.06945712;-11.69308688;-14.71253054;10.57599589;23.87283126
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
